institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
American University,0,0,88,2,3,2,5,62,63,8,52,12,7,6,7760,75,84371,65,597978000,1032022000,2880.32,123494,88,16,83
Arizona State University Campus Immersion,0,0,117,1,5,2,6,90,48,8,43,26,4,9,62219,68,16915,33,2933424180,1592168000,13626.66,114196,87,32,93
Auburn University,0,1,102,1,4,1,5,46,50,2,83,4,4,3,24936,82,38248,43,1279424921,1185728863,6613.33,110439,95,12,85
Baylor University,0,0,88,2,4,2,5,51,60,3,60,17,5,9,15317,80,99079,76,943151000,2103057000,3825.33,107983,91,10,99
Binghamton University,0,1,73,1,4,2,5,39,52,4,52,13,5,18,14845,82,11728,44,575266265,221028373,2830.32,99601,89,28,79
Boston College,0,0,36,2,3,2,5,16,53,9,57,11,5,11,10131,91,277609,75,901168403,3908450339,4027.67,163290,96,13,53
Boston University,0,0,42,2,5,2,5,11,58,22,31,11,5,18,19159,89,94523,70,2306980000,3528624000,10512,150038,95,21,54
Brandeis University,0,1,69,2,3,2,5,40,57,20,42,8,6,17,3873,86,202775,81,376733529,1264908273,1628.64,131134,87,15,65
Brigham Young University,0,0,110,2,5,2,5,68,52,3,80,8,0,2,32272,81,87738,92,1180392784,3079786298,5041.67,129413,91,12,68
Brown University,0,1,13,2,3,2,5,5,52,13,33,11,8,19,7430,96,595848,83,1274338000,6718785000,5502.35,160855,99,15,63
California Institute of Technology,0,0,11,2,2,2,5,3,43,12,20,19,4,35,1044,94,1715554,66,937651861,4228841000,3203.33,215315,97,21,70
Carnegie Mellon University,0,0,20,2,3,2,5,12,49,20,22,11,4,33,7126,94,214622,82,1357716394,3231995579,5962.34,130272,98,18,58
Case Western Reserve University,0,0,51,2,3,2,5,37,48,14,35,12,6,27,6190,87,200105,73,1138662352,2396658000,4702.34,121016,92,18,90
Clemson University,0,0,75,1,4,1,5,38,52,1,75,9,6,3,22991,87,40220,29,1145414439,1124156325,6244.34,109516,93,15,86
Colorado School of Mines,0,1,80,1,3,2,5,61,32,3,67,13,1,6,5759,82,54188,16,358897958,386363861,1454.66,126001,86,20,79
Colorado State University-Fort Collins,0,0,151,1,4,1,3,89,55,3,69,16,3,3,23150,67,22379,37,1402252483,643276118,7999.66,106952,98,21,57
Columbia University in the City of New York,0,0,15,2,4,2,5,4,49,20,29,15,7,17,8751,96,438220,80,5932193000,14782492000,21287.67,193642,98,17,56
Cornell University,0,1,12,2,4,1,5,9,54,11,31,14,7,25,16121,95,345193,83,2913802086,10177681427,12341.67,163558,98,14,60
Dartmouth College,0,0,13,2,3,2,5,5,49,14,47,10,6,14,4967,96,1178367,86,1080808450,8273315722,4273.01,181089,90,31,100
Drexel University,0,0,80,2,4,2,5,79,49,9,42,9,10,23,13275,78,53299,50,999143000,1069294000,4384.01,113386,98,17,58
Duke University,0,0,7,2,3,2,5,6,53,10,36,11,9,23,6558,97,715575,74,3454829000,11889994000,18440.32,172945,83,37,77
East Carolina University,0,1,192,1,4,2,5,89,58,1,62,10,17,3,17920,63,13675,34,665223339,320106984,5364.01,86484,96,18,52
Emory University,0,0,24,2,3,2,5,11,57,17,31,12,9,25,7516,91,765717,66,2655914000,12396185000,14190,150101,84,33,91
Florida Atlantic University,0,0,183,1,4,2,6,66,57,3,40,29,18,4,19087,63,14369,65,665121771,398118994,3371.34,96727,92,47,91
