institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
,,,,,,,,,,,,,,,,,,,,,,,97,20,69
,,,,,,,,,,,,,,,,,,,,,,,82,51,99
,,,,,,,,,,,,,,,,,,,,,,,74,36,99
,,,,,,,,,,,,,,,,,,,,,,,91,24,81
,,,,,,,,,,,,,,,,,,,,,,,87,20,83
,,,,,,,,,,,,,,,,,,,,,,,93,20,97
,,,,,,,,,,,,,,,,,,,,,,,75,45,98
,,,,,,,,,,,,,,,,,,,,,,,74,51,100
,,,,,,,,,,,,,,,,,,,,,,,78,44,94
,,,,,,,,,,,,,,,,,,,,,,,86,25,96
,,,,,,,,,,,,,,,,,,,,,,,79,50,94
,,,,,,,,,,,,,,,,,,,,,,,80,31,95
,,,,,,,,,,,,,,,,,,,,,,,79,21,100
,,,,,,,,,,,,,,,,,,,,,,,85,24,91
,,,,,,,,,,,,,,,,,,,,,,,87,19,97
,,,,,,,,,,,,,,,,,,,,,,,76,43,100
,,,,,,,,,,,,,,,,,,,,,,,67,57,90
,,,,,,,,,,,,,,,,,,,,,,,72,37,93
,,,,,,,,,,,,,,,,,,,,,,,97,18,59
,,,,,,,,,,,,,,,,,,,,,,,85,34,75
,,,,,,,,,,,,,,,,,,,,,,,79,60,92
,,,,,,,,,,,,,,,,,,,,,,,88,20,73
,,,,,,,,,,,,,,,,,,,,,,,84,16,95
,,,,,,,,,,,,,,,,,,,,,,,85,35,86
,,,,,,,,,,,,,,,,,,,,,,,77,45,90
,,,,,,,,,,,,,,,,,,,,,,,76,33,97
,,,,,,,,,,,,,,,,,,,,,,,99,16,70
,,,,,,,,,,,,,,,,,,,,,,,90,24,99
,,,,,,,,,,,,,,,,,,,,,,,86,23,90
,,,,,,,,,,,,,,,,,,,,,,,99,20,63
,,,,,,,,,,,,,,,,,,,,,,,92,16,74
,,,,,,,,,,,,,,,,,,,,,,,84,14,100
,,,,,,,,,,,,,,,,,,,,,,,84,24,98
,,,,,,,,,,,,,,,,,,,,,,,91,15,63
,,,,,,,,,,,,,,,,,,,,,,,91,20,74
,,,,,,,,,,,,,,,,,,,,,,,91,23,87
,,,,,,,,,,,,,,,,,,,,,,,84,29,96
,,,,,,,,,,,,,,,,,,,,,,,76,44,97
,,,,,,,,,,,,,,,,,,,,,,,92,20,94
,,,,,,,,,,,,,,,,,,,,,,,79,25,95
